x,y,tx,ty
1214.41,-1077.3,0.275583,-0.136375
-11.6106,-484.228,-0.0254685,-0.0618258
-1261.29,-1269.58,-0.201874,-0.162284
-738.572,745.771,-0.319168,0.0902607
-1162.14,-835.296,-0.0134528,-0.102681
387.367,261.122,0.29254,0.0312536
1482.72,-198.312,0.180234,-0.0252444
-869.703,-500.001,-0.101999,-0.0638588
1467.54,-165.826,0.178537,-0.0211433
279.907,1113.98,0.0799713,0.142139
-159.199,-1632.2,-0.0462522,-0.208488
-1525.46,153.176,-0.306908,0.0195731
881.689,476.076,0.321849,0.0584824
-755.446,-384.208,-0.236227,-0.0483646
1056.4,-407.765,0.223282,-0.0520993
726.918,-476.452,0.120274,-0.0609435
1165.86,1337.57,0.419702,0.156746
2716.99,140.958,0.829066,0.0174836
-2060,-461.979,-0.301695,-0.0598238
-340.709,-718.011,-0.210095,-0.0888817
-1197.4,38.4682,-0.170859,0.00494995
995.246,-864.868,0.234293,-0.109753
-828.957,1135.16,-0.0414407,0.144002
-679.471,1590.37,-0.014379,0.201604
-965.785,105.188,-0.103792,0.0134803
1002.54,491.303,0.0416913,0.0617149
-1640.18,894.831,-0.667178,0.0907952
1387.81,-690.147,0.187133,-0.0882927
-782.124,1349.89,-0.212965,0.169797
-20.0897,432.385,0.026081,0.0551692
-2086.62,527.096,-0.315518,0.0683923
764.767,-1287.65,0.113549,-0.164576
-1195.43,106.168,-0.173128,0.013632
-24.8556,-474.991,-0.0655457,-0.0604419
-1225.19,-822.459,-0.262496,-0.104588
-186.334,672.256,-0.0152999,0.0858836
-1119.23,-573.094,-0.0578349,-0.0718621
-640.487,-240.543,-0.0896449,-0.0306946
54.3018,-1087.74,0.184857,-0.133513
-1118.23,1148.46,-0.035726,0.143832
-1338.58,707.135,-0.341907,0.0884925
-2393.27,-49.8922,-0.650917,-0.00659268
-1667.75,-780.142,-0.228016,-0.0999613
439.033,-461.02,0.0641762,-0.05895
1467.55,1649.23,0.565351,0.17225
-362.469,387.195,-0.060392,0.0494395
2027.89,171.46,0.243691,0.0217762
-248.301,1397.56,-0.0419328,0.178592
-1446.36,1113.57,-0.148635,0.141714
-37.4327,-953.096,-0.130008,-0.119386
-645.616,1320.57,-0.0631955,0.168651
82.1953,-1408.28,0.0352617,-0.179725
94.768,-377.467,0.0953531,-0.0478074
-1937.77,1154.71,-0.604644,0.129491
-884.515,-888.326,-0.0933968,-0.113315
-44.9083,834.865,0.0377829,0.106444
-1480.41,-1371.91,-0.165453,-0.174965
1298.63,1020.21,0.100397,0.128915
-2456.49,400.196,-0.415713,0.0536922
625.101,567.242,0.342107,0.0673173
1486.54,741.131,0.128372,0.093358
1211.21,788.839,0.27301,0.100007
2712.67,-368.337,0.768783,-0.0479679
1882.36,1449.72,0.215478,0.185045
1038.96,-1367.65,0.37381,-0.162795
-1695.61,1139.24,-0.246723,0.145748
2254.29,-422.978,0.324833,-0.0551549
-139.993,-131.896,-0.0017863,-0.0168575
-1766.55,680.863,-0.210783,0.0866991
1188.46,-1338.73,0.142702,-0.170968
-3657.87,-464.77,-1.00854,-0.0814018
-839.201,1463.78,-0.249675,0.182146
-234.14,-619.654,-0.020885,-0.0791063
-1051.82,-137.852,-0.142221,-0.0176431
-1401.26,851.023,-0.369788,0.105607
-1901.35,-1177.91,-0.357576,-0.150051
2489.37,-280.578,0.7019,-0.0356049
485.392,1398.24,0.14992,0.177169
13.5935,-525.284,-0.0254024,-0.0670507
-921.479,128.922,-0.00679957,0.0161048
-3663.09,1404.54,-1.18459,0.103587
-601.059,1548.83,-0.149609,0.196437
-333.411,1311.83,0.122558,0.161646
1253.13,-1169.41,0.151326,-0.149331
329.155,-892.777,0.0540806,-0.114066
1127.59,13.3411,0.127964,0.00176412
1619.66,-409.517,0.347882,-0.0523272
658.6,1547.9,0.101438,0.19783
-812.486,-1392.86,0.134665,-0.162418
2488.11,-1275.15,0.413052,-0.16458
623.842,1104.04,0.0667408,0.14098
-2821.33,-1761.02,-0.64331,-0.197149
-2268.9,1661.38,-0.528154,0.199114
-1187.89,148.987,-0.203152,0.0190958
-2027.92,-153.214,-0.281426,-0.0197224
757.833,633.636,0.150973,0.080931
-341.969,689.396,-0.0183171,0.0879415
-406.515,628.65,0.0166268,0.0797445
-1872.27,655.778,-0.300836,0.0844708
-1457.18,576.895,-0.168047,0.0734672
436.907,-1549.94,-0.0386869,-0.195576
1140.77,1499.91,0.118705,0.191283
1267.08,-658.735,0.171067,-0.0843126
2818.92,-1325.63,0.861922,-0.135441
-1241.28,-659.429,-0.167457,-0.0843579
-1915.91,995.411,-0.200378,0.125843
-2201.93,825.704,-0.423028,0.106868
1414.04,-744.792,0.167179,-0.0950155
665.848,-120.853,0.0679662,-0.0154263
-2201.23,476.319,-0.380704,0.0624499
-1790.38,-1104.73,-0.28584,-0.141544
1704.21,1681.54,0.189731,0.214351
859.164,-1506.17,0.0535171,-0.191511
-1157.83,1218.61,-0.128709,0.15548
1541.62,1543.6,0.298705,0.195719
-853.049,92.8008,-0.0635672,0.0118556
1550.42,-680.418,0.124083,-0.0849789
46.1022,-476.649,0.0373442,-0.060801
-837.771,229.414,-0.0340903,0.0289553
609.288,-302.698,0.100201,-0.0387367
1892.96,-1168.86,0.253812,-0.149536
-1529.25,-763.222,-0.183992,-0.0973616
1.60734,1404.31,0.192304,0.170697
-1764.97,-1218.59,-0.441,-0.149823
259.633,-620.993,0.0757491,-0.0792038
1835.63,1741.47,0.430522,0.212028
-1012.18,900.186,-0.104014,0.114767
-1609.42,213.801,-0.172852,0.0271375
1005.12,-405.9,0.0649604,-0.0511972
521.623,1321.24,-0.224931,0.14772
-1779.84,243.819,-0.241756,0.0312983
271.478,1669.07,0.0254642,0.213161
1001.18,1047.92,-0.0108147,0.12936
1032.77,789.424,0.147192,0.100994
471.349,-1253.94,0.0831018,-0.160166
1821.56,-1707.71,0.222517,-0.218161
1376.17,-162.686,0.165885,-0.0208075
-371.495,869.145,-0.0773819,0.111004
-493.632,-1307.69,-0.0476069,-0.166977
-1151.18,1626.84,-0.115438,0.207138
-870.54,-1309.28,-0.0835916,-0.166948
595.206,-772.878,0.0511768,-0.0985952
341.637,-780.684,-0.275752,-0.0853981
-659.216,1369.32,-0.129249,0.17454
1561.24,-827.595,0.235763,-0.106185
-1250.09,483.949,-0.310063,0.0610038
-1880.34,-1442.09,-0.621706,-0.155612
-3195.92,1250.44,-0.811646,0.155634
961.681,594.811,0.15501,0.0760677
1374.25,1140.81,0.160119,0.145563
-722.415,-432.442,-0.0661201,-0.0551299
135.918,1188.72,0.00908742,0.151835
1808.27,-1751.51,0.433028,-0.212126
-296.952,-1181.9,-0.144387,-0.149016
-1016.73,-881.496,-0.0581564,-0.111315
1960.07,1415.38,0.31205,0.180483
1788.54,1147.44,0.339418,0.145947
-1044.81,268.101,-0.00387272,0.0331666
-1384.07,-221.163,-0.256597,-0.0284307
347.339,-1017.07,0.250499,-0.123601
1898.5,1274.27,0.252453,0.162929
-1891.63,-1182.58,-0.34107,-0.150952
2347.38,1701.97,0.425017,0.212189
594.9,-179.124,-0.191854,-0.0201322
1605.38,-68.3321,0.23074,-0.00875384
864.443,-700.984,0.0935205,-0.0894788
-1831.26,592.128,-0.222069,0.0753654
-1486.2,1357.97,-0.230636,0.1732
704.512,-1432.7,-0.0636999,-0.17689
-649.6,-44.2963,0.239267,-0.00443832
-1078.31,85.5181,-0.00411708,0.0105933
-551.332,1624.93,-0.465178,0.162408
2331.12,-1229.84,0.402745,-0.158041
-1428.71,1695.71,-0.233407,0.216488
108.549,1170.38,-0.396243,0.114894
1183.58,982.518,0.139721,0.125455
609.432,-605.466,-0.144692,-0.0713626
-979.983,-1672.66,-0.0578537,-0.211819
-1933.16,1175.49,-0.273795,0.150393
-998.778,237.74,-0.140673,0.030363
816.536,-748.606,0.173339,-0.0955085
-373.462,-540.168,0.0737047,-0.067456
-121.358,443.97,-0.033906,0.0567464
2053.18,-90.6101,0.373782,-0.0119385
3040.67,1381.76,0.650178,0.173086
1300.14,-1471.18,0.419111,-0.173733
707.509,401.835,0.241574,0.0503867
-801.788,126.22,0.189838,0.0138811
2088.49,758.46,0.3436,0.0984067
-2849.82,-1506.5,-0.607792,-0.183158
472.097,-1275.89,-0.0627531,-0.159551
-927.53,1471.92,-0.163841,0.187751
2033.47,-737.552,0.436818,-0.0946558
-274.98,-1592.86,-0.00176563,-0.203105
724.517,1453.32,0.478224,0.149767
951.526,63.1732,0.105866,0.00802261
-1031.61,1.59952,0.0187418,0.000363518
-1202.98,618.336,-0.283453,0.0781851
-659.675,916.621,-0.516747,0.0912623
1809.87,224.569,0.459402,0.0281713
-1900.07,561.303,-0.258163,0.0719688
43.9391,-1264.68,0.0353527,-0.161336
-1058.9,-1656.6,-0.385242,-0.195495
1334.37,-27.9444,0.263025,-0.00361133
-1531.28,1182.53,-0.071289,0.146862
-549.796,644.912,-0.0939525,0.0823697
-1677.72,1284.78,-0.205379,0.164034
-2252.62,-549.831,-0.327107,-0.0715685
-1943.46,-1099.54,-0.214065,-0.139434
1331.47,1419.15,0.473828,0.162068
-242.41,543.365,0.0465993,0.068912
1567.91,-1163.94,0.178685,-0.148292
-2081.24,1556.96,-0.298311,0.198639
-1806.86,-839.825,-0.283891,-0.108
1442.67,-594.94,0.471359,-0.0710678
-307.843,-1657.45,0.167057,-0.198062
-1013.96,555.083,-0.144244,0.0710097
-1377.41,870.882,-0.160375,0.111082
-321.01,1132.14,-0.0787796,0.144377
-951.113,-1221.1,-0.100526,-0.155758
1468.56,-531.974,0.208323,-0.0681863
439.834,-284.383,0.0457914,-0.0363333
1858.88,-1637.67,0.223226,-0.209186
2141.16,38.5643,0.297529,0.00495662
-118.293,184.231,-0.0288481,0.0235518
-1455.07,351.333,-0.194129,0.044883
-892.403,-1262.07,-0.132731,-0.161301
-2753.05,-1689.57,-0.683789,-0.186955
801.74,353.877,0.253405,0.0443174
-759.537,876.145,-0.0649721,0.111676
831.272,-236.684,0.119178,-0.0302593
-1876.85,-901.521,-0.197152,-0.113705
704.717,-442.441,0.168996,-0.0563248
302.273,1285.99,-0.0383955,0.162738
2353.98,1283.23,0.632755,0.148394
1302.15,1490.53,0.145919,0.190168
-241.804,-1020.48,0.364686,-0.10249
-581.494,759.562,0.0320966,0.0954026
202.944,-1012.66,0.181135,-0.125723
-928.206,392.888,0.118477,0.0452939
-361.388,-629.561,0.126978,-0.0770714
-1704.25,-1160.71,-0.208528,-0.148205
-186.212,-1416.74,-0.448668,-0.137548
401.706,-717.695,0.0974332,-0.0916088
819.227,341.432,0.147647,0.0436778
1401.74,877.281,0.187359,0.11216
-899.214,-1181.86,0.0705059,-0.14286
1786.35,815.662,0.272102,0.104854
-1155.45,-971.177,-0.267954,-0.122902
1500.98,1509.54,0.275186,0.191907
542.991,525.071,0.0396986,0.0669666
-1049.33,1214.09,-0.171259,0.155089
1519.22,-319.224,0.158398,-0.040327
-1699.88,-1086.19,-0.14287,-0.136393
-490.672,-1385.14,-0.0524665,-0.176854
894.117,1597.83,-0.0366767,0.194531
-1484.15,-1713.09,-0.576502,-0.177409
-2709.22,1397.39,-0.53924,0.172852
2434.86,-1041.53,0.544348,-0.132785
-1143.59,643.233,-0.0379494,0.0800569
1374.91,331.755,0.165769,0.0423432
-1597.69,-168.503,-0.25923,-0.0217641
-1198.98,1153.7,-0.295172,0.144743
232.024,792.865,0.121847,0.100422
-2105.14,53.2467,-0.301553,0.0068513
420.84,1367.66,0.0128915,0.174166
-761.624,465.909,-0.0673867,0.0593297
-2282.06,1108.11,-0.342346,0.142769
-177.652,1289.88,-0.0529521,0.164533
-538.176,597.515,-0.0908977,0.0763174
1014.17,19.9132,0.159097,0.0025629
3830.66,-638.793,0.977161,-0.115928
-907.646,1075.17,-0.397512,0.125291
-1899.01,-371.719,-0.225122,-0.047143
324.997,1527.38,0.0859623,0.194786
263.155,-1381.4,0.198153,-0.170031
-2333.93,-1143.66,-0.496417,-0.144849
-1410.38,1376.49,-0.335008,0.171084
-106.079,1568.02,-0.00363737,0.200412
-1489.4,-1209.81,-0.252041,-0.154552
2346.78,1699.16,0.605828,0.194965
-957.267,-930.732,-0.525704,-0.097772
